Province ID,District ID,Municipality ID,Municipality Name,Ward No,Area Name,Total Households,Total Population,Male Population,Female Population,local_level_code
1,1,1,Phaktanlung Gaunpalika,1,Ward - 1,299,1211,588,623,10105
1,1,1,Phaktanlung Gaunpalika,2,Ward - 2,544,2417,1240,1177,10105
1,1,1,Phaktanlung Gaunpalika,3,Ward - 3,527,2180,1145,1035,10105
1,1,1,Phaktanlung Gaunpalika,4,Ward - 4,472,2020,1025,995,10105
1,1,1,Phaktanlung Gaunpalika,5,Ward - 5,403,1629,844,785,10105
1,1,1,Phaktanlung Gaunpalika,6,Ward - 6,522,2147,1152,995,10105
1,1,1,Phaktanlung Gaunpalika,7,Ward - 7,65,187,94,93,10105
1,1,2,Mikwakhola Gaunpalika,1,Ward - 1,356,1527,762,765,10102
1,1,2,Mikwakhola Gaunpalika,2,Ward - 2,348,1506,728,778,10102
1,1,2,Mikwakhola Gaunpalika,3,Ward - 3,334,1466,716,750,10102
1,1,2,Mikwakhola Gaunpalika,4,Ward - 4,551,2354,1199,1155,10102
1,1,2,Mikwakhola Gaunpalika,5,Ward - 5,256,1111,549,562,10102
1,1,3,Meringden Gaunpalika,1,Ward - 1,467,1969,992,977,10103
1,1,3,Meringden Gaunpalika,2,Ward - 2,533,2586,1275,1311,10103
1,1,3,Meringden Gaunpalika,3,Ward - 3,339,1395,693,702,10103
1,1,3,Meringden Gaunpalika,4,Ward - 4,330,1581,783,798,10103
1,1,3,Meringden Gaunpalika,5,Ward - 5,599,2524,1215,1309,10103
1,1,3,Meringden Gaunpalika,6,Ward - 6,394,1783,901,882,10103
1,1,4,Maiwakhola Gaunpalika,1,Ward - 1,415,1881,914,967,10102
1,1,4,Maiwakhola Gaunpalika,2,Ward - 2,344,1599,802,797,10102
1,1,4,Maiwakhola Gaunpalika,3,Ward - 3,432,1802,907,895,10102
1,1,4,Maiwakhola Gaunpalika,4,Ward - 4,339,1557,770,787,10102
1,1,4,Maiwakhola Gaunpalika,5,Ward - 5,391,1863,974,889,10102
1,1,4,Maiwakhola Gaunpalika,6,Ward - 6,328,1511,786,725,10102
1,1,5,Aatharai Tribeni Gaunpalika,1,Ward - 1,455,2152,1023,1129,10101
1,1,5,Aatharai Tribeni Gaunpalika,2,Ward - 2,701,2988,1482,1506,10101
1,1,5,Aatharai Tribeni Gaunpalika,3,Ward - 3,814,3478,1755,1723,10101
