province,district,local_level,office,ward_count,postal_code_local_level,local_level_code
कोशी,ताप्लेजुङ,फक्ताङ्लुङ्ग गाउँपालिका,"हुलाक कार्यालय, फक्ताङ्लुङ्ग गाउँपालिका",7,10101,10105
कोशी,ताप्लेजुङ,मिक्वाखोला गाउँपालिका,"हुलाक कार्यालय, मिक्वाखोला गाउँपालिका",5,10102,10102
कोशी,ताप्लेजुङ,मेरिङ्गदेन गाउँपालिका,"हुलाक कार्यालय, मेरिङ्गदेन गाउँपालिका",6,10103,10103
कोशी,ताप्लेजुङ,मैवाखोला गाउँपालिका,"हुलाक कार्यालय, मैवाखोला गाउँपालिका",6,10104,10102
कोशी,ताप्लेजुङ,आठराई त्रिवेणी गाउँपालिका,"हुलाक कार्यालय, आठराई त्रिवेणी गाउँपालिका",5,10105,10101
कोशी,ताप्लेजुङ,फुङलिङ्ग नगरपालिका,"जिल्ला हुलाक कार्यालय, ताप्लेजुङ",11,10106,10106
कोशी,ताप्लेजुङ,पाथिभरा याङ्वराक गाउँपालिका,"हुलाक कार्यालय, पाथिभरा याङ्वराक गाउँपालिका",6,10107,10109
कोशी,ताप्लेजुङ,सिरीजङ्गा गाउँपालिका,"हुलाक कार्यालय, सिरीजङ्गा गाउँपालिका",8,10108,10108
कोशी,ताप्लेजुङ,सिदिङ्गवा गाउँपालिका,"हुलाक कार्यालय, सिदिङ्गवा गाउँपालिका",7,10109,10107
कोशी,संखुवासभा,भोटखोला गाउँपालिका,"हुलाक कार्यालय, भोटखोला गाउँपालिका",5,10201,10901
कोशी,संखुवासभा,मकालु गाउँपालिका,"हुलाक कार्यालय, मकालु गाउँपालिका",6,10202,10907
कोशी,संखुवासभा,सिलीचोङ गाउँपालिका,"हुलाक कार्यालय, सिलीचोङ गाउँपालिका",5,10203,10910
कोशी,संखुवासभा,चिचिला गाउँपालिका,"हुलाक कार्यालय, चिचिला गाउँपालिका",5,10204,10903
कोशी,संखुवासभा,सभापोखरी गाउँपालिका,"हुलाक कार्यालय, सभापोखरी गाउँपालिका",6,10205,10909
कोशी,संखुवासभा,खाँदबारी नगरपालिका,"जिल्ला हुलाक कार्यालय, संखुवासभा",11,10206,10905
कोशी,संखुवासभा,पाँचखपन नगरपालिका,"हुलाक कार्यालय, पाँचखपन नगरपालिका",9,10207,10908
कोशी,संखुवासभा,चैनपुर नगरपालिका,"हुलाक कार्यालय, चैनपुर नगरपालिका",11,10208,10902
कोशी,संखुवासभा,मादी नगरपालिका,"हुलाक कार्यालय, मादी नगरपालिका",9,10209,10906
कोशी,संखुवासभा,धर्मदेवी नगरपालिका,"हुलाक कार्यालय, धर्मदेवी नगरपालिका",9,10210,10904
कोशी,सोलुखुम्बु,खुम्बु पासाङल्हामु गाउँपालिका,"हुलाक कार्यालय, खुम्बु पासाङल्हामु गाउँपालिका",5,10301,11103
कोशी,सोलुखुम्बु,माहाकुलुङ गाउँपालिका,"हुलाक कार्यालय, माहाकुलुङ गाउँपालिका",5,10302,11105
कोशी,सोलुखुम्बु,सोताङ गाउँपालिका,"हुलाक कार्यालय, सोताङ गाउँपालिका",5,10303,11108
कोशी,सोलुखुम्बु,माप्य दुधकोशी गाउँपालिका,"हुलाक कार्यालय, माप्य दुधकोशी गाउँपालिका",7,10304,11102
कोशी,सोलुखुम्बु,थुलुङ दुधकोशी गाउँपालिका,"हुलाक कार्यालय, थुलुङ दुधकोशी गाउँपालिका",9,10305,11101
कोशी,सोलुखुम्बु,नेचासल्यान गाउँपालिका,"हुलाक कार्यालय, नेचासल्यान गाउँपालिका",5,10306,11106
कोशी,सोलुखुम्बु,सोलुदुधकुण्ड नगरपालिका,"जिल्ला हुलाक कार्यालय, सोलुखुम्बु",11,10307,11107
कोशी,सोलुखुम्बु,लिखु पिके गाउँपालिका,"हुलाक कार्यालय, लिखु पिके गाउँपालिका",5,10308,11104
कोशी,ओखलढुङ्गा,चिशंखुगढी गाउँपालिका,"हुलाक कार्यालय, चिशंखुगढी गाउँपालिका",8,10401,11202
कोशी,ओखलढुङ्गा,सिद्धिचरण नगरपालिका,"जिल्ला हुलाक कार्यालय, ओखलढुङ्गा",12,10402,11207
कोशी,ओखलढुङ्गा,मोलुङ्ग गाउँपालिका,"हुलाक कार्यालय, मोलुङ्ग गाउँपालिका",8,10403,11206
कोशी,ओखलढुङ्गा,खिजीदेम्बा गाउँपालिका,"हुलाक कार्यालय, खिजीदेम्बा गाउँपालिका",9,10404,11203
कोशी,ओखलढुङ्गा,लिखु गाउँपालिका,"हुलाक कार्यालय, लिखु गाउँपालिका",9,10405,11204
कोशी,ओखलढुङ्गा,चम्पादेवी गाउँपालिका,"हुलाक कार्यालय, चम्पादेवी गाउँपालिका",10,10406,11201
कोशी,ओखलढुङ्गा,सुनकोशी गाउँपालिका,"हुलाक कार्यालय, सुनकोशी गाउँपालिका",10,10407,11208
कोशी,ओखलढुङ्गा,मानेभन्ज्याङ्ग गाउँपालिका,"हुलाक कार्यालय, मानेभन्ज्याङ्ग गाउँपालिका",9,10408,11205
कोशी,खोटाङ,केपिलासगढी गाउँपालिका,"हुलाक कार्यालय, केपिलासगढी गाउँपालिका",7,10501,11306
कोशी,खोटाङ,ऐसेलुखर्क गाउँपालिका,"हुलाक कार्यालय, ऐसेलुखर्क गाउँपालिका",7,10502,11301
कोशी,खोटाङ,रावा बेसी गाउँपालिका,"हुलाक कार्यालय, रावा बेसी गाउँपालिका",6,10503,11308
कोशी,खोटाङ,हलेसी तुवाचुङ नगरपालिका,"हुलाक कार्यालय, हलेसी तुवाचुङ नगरपालिका",11,10504,11304
कोशी,खोटाङ,दिक्तेल रुपाकोट मझुवागढी नगरपालिका,"जिल्ला हुलाक कार्यालय, खोटाङ",15,10505,11309
