province,district,local_level,ward_number,postal_code,local_level_code
कोशी,ताप्लेजुङ,फक्ताङ्लुङ्ग गाउँपालिका,1,1010101,10105
कोशी,ताप्लेजुङ,फक्ताङ्लुङ्ग गाउँपालिका,2,1010102,10105
कोशी,ताप्लेजुङ,फक्ताङ्लुङ्ग गाउँपालिका,3,1010103,10105
कोशी,ताप्लेजुङ,फक्ताङ्लुङ्ग गाउँपालिका,4,1010104,10105
कोशी,ताप्लेजुङ,फक्ताङ्लुङ्ग गाउँपालिका,5,1010105,10105
कोशी,ताप्लेजुङ,फक्ताङ्लुङ्ग गाउँपालिका,6,1010106,10105
कोशी,ताप्लेजुङ,फक्ताङ्लुङ्ग गाउँपालिका,7,1010107,10105
कोशी,ताप्लेजुङ,मिक्वाखोला गाउँपालिका,1,1010201,10102
कोशी,ताप्लेजुङ,मिक्वाखोला गाउँपालिका,2,1010202,10102
कोशी,ताप्लेजुङ,मिक्वाखोला गाउँपालिका,3,1010203,10102
कोशी,ताप्लेजुङ,मिक्वाखोला गाउँपालिका,4,1010204,10102
कोशी,ताप्लेजुङ,मिक्वाखोला गाउँपालिका,5,1010205,10102
कोशी,ताप्लेजुङ,मेरिङ्गदेन गाउँपालिका,1,1010301,10103
कोशी,ताप्लेजुङ,मेरिङ्गदेन गाउँपालिका,2,1010302,10103
कोशी,ताप्लेजुङ,मेरिङ्गदेन गाउँपालिका,3,1010303,10103
कोशी,ताप्लेजुङ,मेरिङ्गदेन गाउँपालिका,4,1010304,10103
कोशी,ताप्लेजुङ,मेरिङ्गदेन गाउँपालिका,5,1010305,10103
कोशी,ताप्लेजुङ,मेरिङ्गदेन गाउँपालिका,6,1010306,10103
कोशी,ताप्लेजुङ,मैवाखोला गाउँपालिका,1,1010401,10102
कोशी,ताप्लेजुङ,मैवाखोला गाउँपालिका,2,1010402,10102
कोशी,ताप्लेजुङ,मैवाखोला गाउँपालिका,3,1010403,10102
कोशी,ताप्लेजुङ,मैवाखोला गाउँपालिका,4,1010404,10102
कोशी,ताप्लेजुङ,मैवाखोला गाउँपालिका,5,1010405,10102
