osm_id,ward_no,note
relation/16127854,15,"Hetauda-15: ward tag is superscript '⁵'; name says 15"
relation/6667491,1,"Yangwarak-01: ward tag is superscript '¹'; name says 01"
relation/6079233,1,"Bungdikali-01: ward tag is 1433 (typo); name says 01"
relation/7594658,10,"Bode Parsain-10: ward tag 19 (typo); local level has 10 wards; name says 10"
relation/16006498,5,"Nechasalyan-05: ward tag 3 duplicates Nechasalyan-03; name says 05"
relation/16011799,2,"Khijidemba-02: ward tag 1 duplicates Khijidemba-01; name says 02"
relation/15985435,1,"Ajaymeru-01: ward tag 2 duplicates Ajaymeru-02; name says 01"
relation/15980749,6,"Marma-06: ward tag 5 duplicates Marma-05; name says 06"
relation/16077723,2,"Sinja-02: ward tag 1 duplicates Sinja-01; name says 02"
relation/16062067,1,"Tribeni Nalagad-07: name 07 duplicates Tribeni Nalagad-07 elsewhere; ward tag 1 fills the only gap"
relation/15985788,2,"Dangisharan (Devanagari -01): name duplicates ward 1; ward tag 2 fills the gap"
relation/16003318,7,"Rolpa (Devanagari -06): name duplicates ward 6; ward tag 7 fills the gap"
relation/16132777,3,"Bijayanagar (Devanagari -01): name duplicates ward 1; ward tag 3 fills the gap"
